artistId,name
4sCKpwwEsgReZxjtKFm2A0,"Tucker Wetmore"
19k8AgwwTSxeaxkOuCQEJs,"Jelly Roll"
1RyvyyTE3xzB2ZywiAwp0i,"Future"
0iEtIxbK0KxaSlF7G42ZOp,"Metro Boomin"
3Me35AWHCGqW4sZ7bWWJt1,"Xavi"
6vWDO969PvNqNYHIOW5v0m,"Beyoncé"
6zLBxLdl60ekBLpawtT63I,"Cody Johnson"
4Gso3d4CscCijv0lmajZWs,"Don Toliver"
1RyvyyTE3xzB2ZywiAwp0i,"Future"
0iEtIxbK0KxaSlF7G42ZOp,"Metro Boomin"
52N3KGrTWDRhdQJrgBTofE,"Good Neighbours"
0ChjBYedhZTQnWZWQYg15U,"Bryan Martin"
1RyvyyTE3xzB2ZywiAwp0i,"Future"
0iEtIxbK0KxaSlF7G42ZOp,"Metro Boomin"
1RyvyyTE3xzB2ZywiAwp0i,"Future"
0iEtIxbK0KxaSlF7G42ZOp,"Metro Boomin"
